speed,rpm,tp,load,timing,area,acc_x,acc_y,acc_z,ethanol_fuel_level,coolant_temp,intake_manifold_pressure,afr,battery_voltage,fuel_level,mmcloud_time,cloud_index,latitude,longitude
15,1485,14,25,24,577,0.06,0.04,-0.02,,94,37,100,1318,100,570,1,-5.843028,-35.197472
14,1531,16,24,23,594.890015,-0.09,-0.27,-0.01,,94,40,100,1318,100,477,1,-5.843019,-35.197517
15,1618,17,25,27,663.600037,-0.08,-0.24,-0.02,,93,47,100,1315,100,1924,0,-5.843021,-35.197536
15,1595,20,31,21,826.849976,-0.01,-0.15,0.01,,93,55,100,1313,100,925,0,-5.843062,-35.197556
17,1538,20,37,18,955.260010,-0.17,-0.13,0.02,,92,55,100,1334,100,1926,0,-5.843095,-35.197559
18,1502,18,31,29,808.989990,0.06,0.10,-0.05,,92,54,100,1342,100,637,0,-5.843149,-35.197563
20,1550,15,23,26,655.750000,-0.68,-0.30,0.23,,92,38,100,1342,97,629,0,-5.843187,-35.197567
22,1467,15,25,-1,697.244995,-0.10,0.01,0.04,,92,39,100,1353,91,592,0,-5.843250,-35.197578
24,1173,15,36,-29,801.900024,0.07,0.15,-0.03,,92,41,100,1354,94,594,0,-5.843294,-35.197598
25,1101,14,35,-19,750.299988,0.21,-0.08,0,,92,35,100,1357,92,593,0,-5.843364,-35.197624
26,1099,14,34,-20,749.700012,0.05,0.08,-0.06,,92,34,100,1356,100,641,0,-5.843411,-35.197639
25,1083,14,32,-16,707.655029,-0.21,-0.10,-0.07,,92,33,100,1361,100,595,0,-5.843486,-35.197651
20,1097,14,32,-20,649.220032,-0.32,-0.09,-0.02,,92,33,100,1365,94,593,0,-5.843526,-35.197659
13,1054,14,32,-16,552.150024,-0.19,-0.09,-0.08,,92,33,100,1363,95,595,0,-5.843572,-35.197662
9,967,14,34,-12,508.905029,-0.04,-0.03,-0.02,,93,35,100,1359,100,596,0,-5.843590,-35.197662
8,936,14,35,-11,502.239990,0.01,0,0.03,,93,36,100,1371,100,631,0,-5.843614,-35.197666
8,942,14,35,-10,503.529999,-0.02,0.05,-0.07,,93,36,100,1353,100,803,0,-5.843629,-35.197674
9,1168,16,36,0,622.799988,0.05,0.14,0.04,,93,36,100,1371,92,592,0,-5.843650,-35.197689
11,1517,21,40,16,922.335022,-0.01,0.15,0.05,,94,54,100,1370,92,594,0,-5.843666,-35.197704
14,1864,21,32,13,911.719971,0.23,0.24,0.02,,94,54,100,1369,92,630,0,-5.843673,-35.197742
17,1810,21,38,12,1075.250000,0.21,0.11,-0.03,,94,55,100,1378,94,594,0,-5.843666,-35.197784
20,1859,20,36,17,1080.520020,0.62,0.24,-0.02,,94,54,100,1353,100,595,0,-5.843665,-35.197830
23,1560,19,44,17,1159.099976,0.43,0.32,0,,95,55,100,1372,95,613,0,-5.843659,-35.197880
25,1517,17,29,27,868.590027,0.14,0.11,0,,95,54,100,1376,100,594,0,-5.843658,-35.197945
26,1506,15,26,24,781.560059,0.12,0.01,0,,95,43,100,1372,100,632,0,-5.843662,-35.197990
26,1592,14,20,30,688.159973,-0.26,-0.16,0.06,,95,36,100,1381,100,596,0,-5.843662,-35.198063
26,1513,14,20,-11,669.989990,-0.08,-0.13,0.11,,95,35,100,1369,100,595,0,-5.843657,-35.198116
26,1197,14,36,-24,805.070007,0.29,0.09,0,,95,37,100,1361,94,592,0,-5.843649,-35.198193
25,1120,14,34,-23,743.400024,-0.11,-0.10,0.02,,95,34,100,1379,100,593,0,-5.843644,-35.198238
24,1091,14,32,-19,697.479980,0.15,0.07,-0.16,,95,34,100,1371,97,633,0,-5.843637,-35.198311
22,1089,14,33,-21,684.475037,-0.03,0.12,-0.04,,95,34,100,1378,94,596,0,-5.843634,-35.198357
17,1079,14,33,-19,619.750000,-0.15,-0.06,-0.08,,95,33,100,1373,91,595,0,-5.843627,-35.198406
11,1020,14,33,-15,532.400024,-0.17,-0.03,-0.05,,95,35,100,1382,91,597,0,-5.843624,-35.198433
7,936,15,35,-3,511.559998,-0.08,-0.01,-0.05,,95,39,100,1369,97,595,0,-5.843627,-35.198452
3,1006,18,58,-12,855.830017,-0.06,0.01,-0.05,,95,53,100,1376,91,632,0,-5.843630,-35.198456
0,928,17,58,-9,762.119995,0.01,0.02,0,,95,51,100,1360,93,596,0,-5.843634,-35.198456
0,947,17,58,-9,767.630005,0.01,-0.01,0,,95,50,100,1356,100,595,0,-5.843632,-35.198460
0,915,16,40,-1,503,0.03,0,0.02,,95,42,100,1337,94,595,0,-5.843633,-35.198460
2,963,18,60,-9,856.530029,0.07,-0.04,0.04,,95,52,100,1334,100,634,0,-5.843635,-35.198463
5,1001,18,60,-11,910.325012,0.06,-0.02,0.02,,94,54,100,1342,100,594,0,-5.843640,-35.198471
6,928,16,55,-9,771.039978,0.04,0.02,0.01,,94,47,100,1329,100,594,0,-5.843647,-35.198479
7,923,15,47,-11,654.209961,0.01,-0.01,0,,94,44,100,1332,100,593,0,-5.843660,-35.198490
8,1055,14,38,10,564.650024,-0.01,-0.02,0.05,,94,36,100,1325,100,593,0,-5.843670,-35.198502
7,988,16,36,-2,556.420044,0.04,-0.02,0.01,,94,40,100,1330,100,632,0,-5.843687,-35.198513
7,975,17,50,-14,762.375000,0.02,-0.04,0.03,,94,48,100,1320,100,594,0,-5.843700,-35.198513
7,954,16,49,-13,715.119995,-0.14,-0.02,0.01,,93,46,100,1323,94,595,0,-5.843720,-35.198521
6,964,18,55,-11,843.020020,-0.03,0.01,-0.01,,93,52,100,1319,100,595,0,-5.843731,-35.198521
4,1008,20,63,-12,1007.679993,-0.09,-0.03,-0.03,,93,57,100,1318,97,614,0,-5.843744,-35.198524
0,981,18,64,-12,889.920044,0.02,-0.01,0.01,,93,55,100,1318,100,625,0,-5.843745,-35.198524
0,973,18,63,-10,873.494995,0.08,0,0.05,,92,54,100,1337,100,598,0,-5.843751,-35.198528
4,1181,21,61,10,1066.324951,0.19,0.10,0.07,,92,57,100,1316,100,593,0,-5.843756,-35.198528
9,1646,89,52,13,3216.530029,0.13,0.21,0.03,,92,74,100,1326,96,460,1,-5.843765,-35.198547
14,2158,89,50,8,3538.560059,0.15,0.23,0.10,,92,84,100,1317,100,462,2,-5.843775,-35.198566
24,2804,89,75,10,5793.479980,0.25,0.13,0.15,,92,136,100,1323,100,628,2,-5.843771,-35.198631
34,2513,88,84,1,6674.669922,0.23,-0.03,0.14,,92,144,100,1323,100,595,2,-5.843764,-35.198696
42,2531,89,89,0,7487.304688,0.22,-0.03,0.13,,92,155,100,1318,100,462,2,-5.843745,-35.198814
51,2612,32,99,1,4359,0.16,-0.02,0.10,,92,141,100,1318,100,462,2,-5.843737,-35.198914
55,2141,39,72,19,3836.034912,0.09,0.07,-0.02,,92,94,100,1312,96,475,1,-5.843722,-35.199074
54,1610,15,20,-26,1150.700073,-0.16,-0.01,-0.05,,93,38,100,1318,87,614,0,-5.843714,-35.199177
47,1400,14,31,0,1092,-0.23,0.06,-0.17,,93,35,100,1424,92,595,0,-5.843706,-35.199322
36,1510,16,29,0,1010.750000,-0.27,0.05,-0.19,,94,32,100,1554,87,606,0,-5.843694,-35.199394
24,1345,15,33,0,810.825012,-0.23,0,-0.14,,95,37,100,1497,82,604,0,-5.843682,-35.199478
18,1190,17,42,11,866.999939,0,0.01,0.02,,95,41,100,1394,100,627,0,-5.843679,-35.199512
